Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0805_2012Metric",172.000000,-71.950000,90.000000,top
"C2","10u","C_1206_3216Metric",174.525000,-99.500000,0.000000,top
"C3","22u","C_0805_2012Metric",172.000000,-76.450000,90.000000,top
"C4","10n","C_0805_2012Metric",169.000000,-106.500000,90.000000,top
"C5","220u","CP_Elec_6.3x4.5",165.500000,-78.000000,90.000000,top
"D1","PWR_LED","LED_0805_2012Metric",183.900000,-116.500000,0.000000,top
"D2","PWM1_STATUS","LED_0805_2012Metric",132.000000,-119.062500,90.000000,top
"D3","PWM2_STATUS","LED_0805_2012Metric",143.500000,-119.000000,90.000000,top
"D4","B340A","D_SMA",169.000000,-99.900000,270.000000,top
"D5","PWM3_STATUS","LED_0805_2012Metric",160.500000,-113.500000,180.000000,top
"L1","15u","L_Sumida_CDMC6D28_7.25x6.5mm",170.000000,-87.850000,90.000000,top
"Q1","AO3401A","SOT-23",180.550000,-100.000000,270.000000,top
"Q2","AO3400A","SOT-23",115.950000,-110.000000,270.000000,top
"Q3","AO3400A","SOT-23",121.550000,-110.000000,270.000000,top
"Q4","AO3400A","SOT-23",165.000000,-109.500000,0.000000,top
"R1","4k7","R_0805_2012Metric",183.887500,-114.100000,0.000000,top
"R2","100k","R_0805_2012Metric",180.500000,-105.412500,270.000000,top
"R3","21k","R_0805_2012Metric",180.500000,-109.987500,270.000000,top
"R4","4k7","R_0805_2012Metric",132.000000,-115.500000,90.000000,top
"R5","100","R_0805_2012Metric",122.612500,-75.100000,180.000000,top
"R6","10k","R_0805_2012Metric",122.612500,-72.100000,180.000000,top
"R7","4k7","R_0805_2012Metric",143.500000,-115.412500,90.000000,top
"R8","100","R_0805_2012Metric",122.600000,-81.200000,180.000000,top
"R9","10k","R_0805_2012Metric",122.587500,-78.500000,180.000000,top
"R10","4k7","R_0805_2012Metric",160.587500,-111.000000,0.000000,top
"R11","10k","R_0805_2012Metric",176.587500,-92.500000,0.000000,top
"R12","3k","R_0805_2012Metric",178.500000,-95.912500,90.000000,top
"R13","240","R_0805_2012Metric",174.500000,-95.912500,270.000000,top
"R14","100","R_0805_2012Metric",122.612500,-87.400000,180.000000,top
"R15","10k","R_0805_2012Metric",122.612500,-84.700000,180.000000,top
"U1","TPS5430","TI_SO-PowerPAD-8_ThermalVias",175.000000,-106.800000,90.000000,top
