"Source:","E:\HomeMake\orange_juice\kicad\orange_juice_board.kicad_sch"
"Date:","05/02/2022 18:18:34"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","56"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet","Footprint","LCSC Part#","Reference","Value"
"","","C1","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","~","","","C","C_Small"
"","","C2","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","~","","","C","C_Small"
"","","C3","10nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","~","","","C","C_Small"
"","","C4","220uF","Device:C_Polarized_Small","Capacitor_SMD:C_Elec_6.3x5.4","~","~","","","C","C_Polarized_Small"
"","","D1","LED_PWR","orange_juice_board-rescue:LED_Small-Device-OrangePiZeroExtentionBoard-rescue-orange_juice_board-rescue","LED_SMD:LED_0805_2012Metric","","","LED_SMD:LED_0805_2012Metric","C84260","D3","PWM2_STATUS"
"","","D2","PWM1_STATUS","orange_juice_board-rescue:LED_Small-Device-OrangePiZeroExtentionBoard-rescue-orange_juice_board-rescue","LED_SMD:LED_0805_2012Metric","","","LED_SMD:LED_0805_2012Metric","C84260","D2","PWM1_STATUS"
"","","D3","PWM2_STATUS","orange_juice_board-rescue:LED_Small-Device-OrangePiZeroExtentionBoard-rescue-orange_juice_board-rescue","LED_SMD:LED_0805_2012Metric","","","LED_SMD:LED_0805_2012Metric","C84260","D3","PWM2_STATUS"
"","","D4","PWM3_STATUS","orange_juice_board-rescue:LED_Small-Device-OrangePiZeroExtentionBoard-rescue-orange_juice_board-rescue","LED_SMD:LED_0805_2012Metric","","","LED_SMD:LED_0805_2012Metric","C84260","D4","PWM3_STATUS"
"","","D5","B340A","Diode:B340","Diode_SMD:D_SMA","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","Diode_SMD:D_SMC","","D","B340"
"","","D6","SMAJ24A","Diode:SM6T24A","Diode_SMD:D_SMA","https://www.st.com/resource/en/datasheet/sm6t.pdf","https://www.st.com/resource/en/datasheet/sm6t.pdf","Diode_SMD:D_SMB","C726750","D","SM6T24A"
"","","H1","MH_Board","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","","H","MH_Board"
"","","H2","MH_FAN","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","~","MountingHole:MountingHole_3.2mm_M3","","H5","MH_FAN"
"","","H3","MH_MAX31865","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","~","MountingHole:MountingHole_3.2mm_M3","","H9","MH_MAX31865"
"","","H4","MH_Board","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","","H","MH_Board"
